dataset,gap,A,B,N,p_raw,dz,cliffs_delta,p_holm
ecg,50,softsign_pca,tanh_pca,235,5.525246917314363e-33,-1.073549530348327,-0.07071072883657764,7.182820992508672e-32
ecg,50,lsm_spikes,softsign_pca,235,3.53306259532559e-18,-0.6705792920665621,-0.09660479855138071,4.239675114390707e-17
ecg,50,softsign_raw,tanh_pca,235,1.1651512471848668e-11,-0.5410724163470281,-0.2545043005885016,1.2816663719033534e-10
ecg,50,softsign_pca,softsign_raw,235,5.031444736815262e-08,0.42008095237505805,0.19583521955636035,5.031444736815262e-07
ecg,50,lsm_rates,tanh_pca,235,2.385551369527828e-07,-0.3928564113238643,-0.13473970122227252,2.1469962325750454e-06
ecg,50,tanh_pca,tanh_raw,235,0.00023080545676504378,0.30853115589508034,0.13180624717066547,0.0018464436541203502
ecg,50,lsm_rates,softsign_pca,235,0.002078396509526772,-0.19447360406019942,-0.08986871887732005,0.014548775566687405
ecg,50,lsm_spikes,softsign_raw,235,0.00411931760480313,0.26581486074289623,0.09186057039384336,0.02471590562881878
ecg,50,lsm_rates,softsign_raw,235,0.016517255582611582,0.32181251023784047,0.07129017655047533,0.0825862779130579
ecg,50,softsign_pca,tanh_raw,235,0.021914720438253387,0.19931841340378606,0.07444092349479403,0.08765888175301355
ecg,50,lsm_rates,lsm_spikes,235,0.25964522995439765,0.14408634210771748,-0.003060208239022182,0.778935689863193
ecg,50,lsm_spikes,tanh_raw,235,0.8091294148753319,0.020887803794917153,-0.006138524219103667,0.8091294148753319
ecg,50,lsm_rates,tanh_raw,235,0.5114430810489234,0.0939746317035069,-0.006355817111815301,1.0
